20.1154, 28.7018
15.2001, 27.0951
17.2002, 27.6698
16.7857, 34.3665
20.8918, 31.4804
20.4136, 31.0913
22.1374, 26.7114
15.6955, 32.2913
18.3754, 26.6340
15.2384, 28.7946
16.7491, 34.8952
19.0428, 31.4000
15.2123, 30.5695
16.5907, 31.8461
20.1991, 33.4285
19.3595, 32.7600
16.7635, 27.2905
19.7141, 25.3210
21.4754, 28.1545
15.0520, 27.6774
21.4466, 27.1098
20.5851, 34.4291
17.7220, 33.7637
16.2438, 28.1468
22.6577, 31.5544
17.6928, 28.9563
15.7420, 34.1455
15.7737, 29.5885
21.7800, 27.6488
19.8298, 27.4663
21.4570, 30.6137
20.8379, 27.6274
19.2898, 30.8459
22.7849, 33.9782
18.0283, 28.9940
19.4163, 27.1932
21.6352, 34.9754
19.9482, 30.0953
21.8937, 25.9091
19.6188, 25.4712
20.6366, 26.0965
15.3666, 31.2745
16.8232, 32.9208
17.3151, 29.2216
15.6383, 25.6353
16.8623, 28.8162
15.8080, 34.9612
17.2238, 30.2911
20.0855, 34.7108
17.9187, 33.6078
